end_of_week,UNDER5,AGE1829,AGE3039,AGE4049,AGE5064,AGE6574,AGE75PLUS,AGE517,Overall
2020-03-07,39.0,751.0,1042.0,1278.0,2466.0,1172.0,860.0,160.0,7768.0
2020-03-14,139.0,4366.0,5171.0,5650.0,9187.0,4066.0,2654.0,482.0,31715.0
2020-03-21,419.0,15867.0,18433.0,19053.0,30614.0,12454.0,8153.0,1627.0,106620.0
2020-03-28,616.0,19887.0,25571.0,26936.0,44241.0,17577.0,15083.0,1984.0,151895.0
2020-04-04,854.0,23428.0,29265.0,31663.0,53359.0,21392.0,22481.0,2862.0,185304.0
2020-04-11,1120.0,24701.0,28678.0,31158.0,51811.0,21498.0,28392.0,3502.0,190860.0
2020-04-18,1148.0,25166.0,27259.0,28240.0,45228.0,18971.0,28023.0,4163.0,178198.0
2020-04-25,1475.0,29529.0,30275.0,30664.0,45328.0,17716.0,26491.0,5799.0,187277.0
2020-05-02,1854.0,34253.0,32773.0,32398.0,45127.0,16766.0,23177.0,7271.0,193619.0
2020-05-09,2034.0,30867.0,28864.0,27088.0,38236.0,14448.0,18804.0,8144.0,168485.0
2020-05-16,2524.0,32170.0,28990.0,26966.0,37309.0,13496.0,17344.0,9474.0,168273.0
2020-05-23,2740.0,32922.0,28539.0,26567.0,34952.0,12645.0,14702.0,10192.0,163259.0
2020-05-30,2638.0,33160.0,28327.0,25557.0,33694.0,11641.0,13690.0,10066.0,158773.0
2020-06-06,3149.0,36686.0,28776.0,26474.0,33121.0,11454.0,12106.0,11611.0,163377.0
2020-06-13,3837.0,48747.0,36646.0,33068.0,41992.0,14409.0,14149.0,13854.0,206702.0
2020-06-20,4838.0,69363.0,45023.0,37588.0,44462.0,14985.0,12779.0,17207.0,246245.0
2020-06-27,5964.0,95853.0,60373.0,48697.0,58555.0,19164.0,16824.0,22643.0,328073.0
2020-07-04,6863.0,105182.0,67130.0,55749.0,66128.0,21640.0,16644.0,26972.0,366308.0
2020-07-11,7931.0,118357.0,77289.0,66069.0,79772.0,26591.0,19713.0,34024.0,429746.0
2020-07-18,8420.0,110277.0,76168.0,66702.0,82309.0,28299.0,22023.0,36421.0,430619.0
2020-07-25,8355.0,96553.0,67699.0,61612.0,76432.0,27559.0,21647.0,34459.0,394316.0
2020-08-01,7517.0,86981.0,61242.0,56246.0,71254.0,26053.0,21015.0,31969.0,362277.0
2020-08-08,7249.0,83650.0,57938.0,53498.0,67940.0,24689.0,20399.0,31333.0,346696.0
2020-08-15,7191.0,86048.0,58836.0,53552.0,67529.0,24253.0,19885.0,30594.0,347888.0
2020-08-22,6542.0,87919.0,53719.0,48501.0,62606.0,23054.0,19121.0,27726.0,329188.0
2020-08-29,5584.0,89988.0,43393.0,39636.0,51667.0,19011.0,16063.0,24299.0,289641.0
2020-09-05,4478.0,87024.0,35214.0,32665.0,43238.0,16218.0,14110.0,21268.0,254215.0
2020-09-12,4166.0,78828.0,35603.0,32501.0,44316.0,16902.0,14243.0,22021.0,248580.0
2020-09-19,5604.0,87105.0,46257.0,42347.0,56099.0,21270.0,17807.0,28414.0,304903.0
2020-09-26,5950.0,84643.0,50633.0,46241.0,61672.0,23987.0,19310.0,29943.0,322379.0
2020-10-03,6311.0,81660.0,53241.0,48560.0,66767.0,27320.0,21609.0,31810.0,337278.0
2020-10-10,6670.0,83182.0,55736.0,51722.0,72188.0,29210.0,23188.0,35054.0,356950.0
2020-10-17,8009.0,97659.0,68929.0,63478.0,88259.0,34686.0,28095.0,41025.0,430140.0
2020-10-24,9420.0,116328.0,84708.0,77734.0,106643.0,41937.0,33288.0,50685.0,520743.0
