batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.512618,6.035079
0,mae,0,0.1,7.145445,6.302028
0,mae,0,0.2,7.376354,6.316617
0,mae,1,0.05,5.379644,5.695904
0,mae,1,0.1,6.295446,6.034318
0,mae,1,0.2,6.774042,5.870686
0,mae,2,0.05,5.940667,5.835168
0,mae,2,0.1,6.413997,5.957643
0,mae,2,0.2,6.691083,6.025893
0,mae,3,0.05,5.336883,5.47648
0,mae,3,0.1,5.866546,5.674886
0,mae,3,0.2,6.138112,5.679451
0,mae,4,0.05,6.020935,5.310791
0,mae,4,0.1,6.454668,5.431635
0,mae,4,0.2,6.787353,5.481555
0,mae,5,0.05,5.676827,6.192775
0,mae,5,0.1,6.611574,6.158228
0,mae,5,0.2,7.083241,6.119142
0,mae,6,0.05,5.657544,6.593685
0,mae,6,0.1,6.197596,6.662823
0,mae,6,0.2,6.423531,6.738505
0,mae,7,0.05,6.510269,6.243634
0,mae,7,0.1,7.24913,6.386143
0,mae,7,0.2,7.578523,6.442929
0,mae,8,0.05,5.899317,6.130416
0,mae,8,0.1,6.822081,6.480201
0,mae,8,0.2,7.195188,6.485856
0,mae,9,0.05,6.097283,6.014587
0,mae,9,0.1,6.67978,6.154259
0,mae,9,0.2,6.91031,6.327029
0,mae,10,0.05,5.425367,5.657249
0,mae,10,0.1,5.974367,5.82059
0,mae,10,0.2,6.171694,5.809194
0,mae,11,0.05,5.718781,5.671926
0,mae,11,0.1,6.356094,5.752688
0,mae,11,0.2,6.778604,5.879262
0,mae,12,0.05,6.177509,5.124982
0,mae,12,0.1,6.802729,5.394621
0,mae,12,0.2,7.091194,5.605211
0,mae,13,0.05,6.024957,5.959569
0,mae,13,0.1,6.41686,6.237457
0,mae,13,0.2,6.773616,6.425058
0,mse,0,0.05,5.328224,3.939375
0,mse,0,0.1,6.117537,4.266199
0,mse,0,0.2,6.573811,4.335659
0,mse,1,0.05,4.469469,3.58761
0,mse,1,0.1,5.506819,3.837746
0,mse,1,0.2,6.189423,3.582135
0,mse,2,0.05,4.786445,3.971749
0,mse,2,0.1,5.501807,4.186192
0,mse,2,0.2,5.917438,4.329193
0,mse,3,0.05,4.029503,3.638147
0,mse,3,0.1,4.774555,3.943982
0,mse,3,0.2,5.163514,4.094238
0,mse,4,0.05,4.996015,3.435313
0,mse,4,0.1,5.460256,3.69239
0,mse,4,0.2,5.920276,3.960062
0,mse,5,0.05,4.15554,4.550287
0,mse,5,0.1,5.688944,4.200419
0,mse,5,0.2,6.343083,4.262085
0,mse,6,0.05,3.804621,4.963153
0,mse,6,0.1,4.6326,5.03752
0,mse,6,0.2,4.856423,5.140195
0,mse,7,0.05,5.129136,4.364753
0,mse,7,0.1,6.290868,4.386449
0,mse,7,0.2,6.779454,4.454995
0,mse,8,0.05,4.731797,4.173326
0,mse,8,0.1,6.114019,4.460547
0,mse,8,0.2,6.602993,4.594319
0,mse,9,0.05,4.979044,4.166781
0,mse,9,0.1,5.694338,4.368338
0,mse,9,0.2,6.078451,4.650662
0,mse,10,0.05,4.057252,3.865614
0,mse,10,0.1,4.632276,4.017939
0,mse,10,0.2,4.900609,4.143387
0,mse,11,0.05,4.230227,4.16526
0,mse,11,0.1,5.005353,4.110099
0,mse,11,0.2,5.573484,4.379997
0,mse,12,0.05,4.854358,3.149648
0,mse,12,0.1,5.620655,3.442474
0,mse,12,0.2,6.01533,3.696435
0,mse,13,0.05,4.74304,4.038183
0,mse,13,0.1,5.275105,4.285665
0,mse,13,0.2,5.765769,4.58806
