batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.51265,6.034934
0,mae,0,0.1,7.145418,6.301975
0,mae,1,0.05,5.37965,5.695837
0,mae,1,0.1,6.295388,6.034334
0,mae,2,0.05,5.94066,5.835149
0,mae,2,0.1,6.41393,5.957642
0,mae,3,0.05,5.336879,5.47643
0,mae,3,0.1,5.866533,5.674824
0,mae,4,0.05,6.020926,5.310755
0,mae,4,0.1,6.454679,5.431738
0,mae,5,0.05,5.676843,6.192714
0,mae,5,0.1,6.611584,6.158226
0,mae,6,0.05,5.657558,6.593672
0,mae,6,0.1,6.197594,6.662879
0,mae,7,0.05,6.510268,6.243576
0,mae,7,0.1,7.2491,6.386241
0,mae,8,0.05,5.899297,6.130354
0,mae,8,0.1,6.822093,6.480231
0,mae,9,0.05,6.097262,6.01439
0,mae,9,0.1,6.67986,6.154399
0,mae,10,0.05,5.425352,5.657259
0,mae,10,0.1,5.974336,5.820661
0,mae,11,0.05,5.718738,5.672125
0,mae,11,0.1,6.356086,5.75265
0,mae,12,0.05,6.177499,5.124947
0,mae,12,0.1,6.802745,5.39455
0,mae,13,0.05,6.024982,5.959464
0,mae,13,0.1,6.416847,6.237465
0,mse,0,0.05,5.328249,3.939328
0,mse,0,0.1,6.117486,4.266109
0,mse,1,0.05,4.469489,3.587489
0,mse,1,0.1,5.506812,3.837751
0,mse,2,0.05,4.786441,3.971722
0,mse,2,0.1,5.501754,4.186199
0,mse,3,0.05,4.029529,3.638047
0,mse,3,0.1,4.774545,3.944006
0,mse,4,0.05,4.996007,3.435312
0,mse,4,0.1,5.460267,3.692495
0,mse,5,0.05,4.155512,4.550302
0,mse,5,0.1,5.68898,4.20038
0,mse,6,0.05,3.804641,4.963049
0,mse,6,0.1,4.632586,5.037527
0,mse,7,0.05,5.129125,4.364747
0,mse,7,0.1,6.290798,4.386595
0,mse,8,0.05,4.731806,4.173236
0,mse,8,0.1,6.114005,4.460544
0,mse,9,0.05,4.979029,4.166639
0,mse,9,0.1,5.694381,4.368453
0,mse,10,0.05,4.057236,3.865602
0,mse,10,0.1,4.63229,4.018135
0,mse,11,0.05,4.230221,4.165447
0,mse,11,0.1,5.005344,4.110123
0,mse,12,0.05,4.85436,3.149562
0,mse,12,0.1,5.620677,3.442406
0,mse,13,0.05,4.743001,4.038143
0,mse,13,0.1,5.275084,4.285589
