batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.474348,4.630935
0,mae,0,0.1,6.951231,1.09985
0,mae,1,0.05,3.58109,4.470296
0,mae,1,0.1,6.951236,1.099746
0,mae,2,0.05,4.080027,4.488419
0,mae,2,0.1,6.951234,1.099745
0,mae,3,0.05,4.150787,4.251236
0,mae,3,0.1,6.951235,1.099669
0,mae,4,0.05,4.550745,3.645217
0,mae,4,0.1,6.95124,1.099727
0,mae,5,0.05,4.660848,3.80723
0,mae,5,0.1,6.95124,1.099754
0,mae,6,0.05,4.700365,3.820208
0,mae,6,0.1,6.951239,1.099742
0,mae,7,0.05,3.571271,4.375381
0,mae,7,0.1,6.951246,1.099723
0,mae,8,0.05,3.390636,4.638957
0,mae,8,0.1,6.951239,1.099742
0,mae,9,0.05,3.45822,4.557218
0,mae,9,0.1,6.951228,1.099716
0,mae,10,0.05,4.099176,4.336907
0,mae,10,0.1,6.951252,1.099727
0,mae,11,0.05,4.350112,3.71265
0,mae,11,0.1,6.951248,1.099771
0,mae,12,0.05,4.571212,3.935198
0,mae,12,0.1,6.951237,1.099722
0,mae,13,0.05,4.135741,4.241811
0,mae,13,0.1,6.951245,1.099744
0,mse,0,0.05,1.512227,2.475802
0,mse,0,0.1,5.104377,0.137903
0,mse,1,0.05,1.604424,2.413944
0,mse,1,0.1,5.104388,0.137938
0,mse,2,0.05,1.995065,2.318534
0,mse,2,0.1,5.104379,0.1379
0,mse,3,0.05,2.010944,2.056671
0,mse,3,0.1,5.104384,0.137931
0,mse,4,0.05,2.433763,1.580232
0,mse,4,0.1,5.104394,0.137896
0,mse,5,0.05,2.552685,1.809318
0,mse,5,0.1,5.104393,0.137915
0,mse,6,0.05,2.680728,1.779978
0,mse,6,0.1,5.104393,0.1379
0,mse,7,0.05,1.544306,2.338129
0,mse,7,0.1,5.104406,0.137896
0,mse,8,0.05,1.435417,2.460435
0,mse,8,0.1,5.104393,0.1379
0,mse,9,0.05,1.407489,2.36757
0,mse,9,0.1,5.104375,0.137893
0,mse,10,0.05,1.969482,2.108843
0,mse,10,0.1,5.10441,0.137895
0,mse,11,0.05,2.226054,1.611383
0,mse,11,0.1,5.104405,0.137906
0,mse,12,0.05,2.429817,1.896089
0,mse,12,0.1,5.10439,0.137913
0,mse,13,0.05,2.001419,2.085602
0,mse,13,0.1,5.104398,0.137899
1,mae,0,0.05,4.026316,4.063957
1,mae,0,0.1,6.70001,1.008198
1,mae,1,0.05,3.990669,4.00041
1,mae,1,0.1,6.700008,1.008113
1,mae,2,0.05,4.624819,3.759056
1,mae,2,0.1,6.700003,1.008324
1,mae,3,0.05,3.931276,4.12878
1,mae,3,0.1,6.700001,1.008291
1,mae,4,0.05,3.959269,4.117951
1,mae,4,0.1,6.700004,1.008276
1,mae,5,0.05,4.000198,4.263701
1,mae,5,0.1,6.700004,1.007999
1,mae,6,0.05,4.132792,4.116676
1,mae,6,0.1,6.700004,1.008337
1,mae,7,0.05,4.032022,4.246822
1,mae,7,0.1,6.700004,1.008308
1,mae,8,0.05,3.919381,4.157227
1,mae,8,0.1,6.700003,1.008263
1,mae,9,0.05,3.855076,4.323807
1,mae,9,0.1,6.700001,1.008082
1,mae,10,0.05,4.466088,4.047821
1,mae,10,0.1,6.700003,1.008144
1,mae,11,0.05,4.2358,3.938251
1,mae,11,0.1,6.700001,1.00809
1,mae,12,0.05,4.067574,4.425897
1,mae,12,0.1,6.700002,1.008257
1,mae,13,0.05,4.739075,3.6033
1,mae,13,0.1,6.700006,1.00828
1,mse,0,0.05,2.029712,1.95896
1,mse,0,0.1,4.634315,0.118394
1,mse,1,0.05,1.922995,1.870076
1,mse,1,0.1,4.634313,0.118343
1,mse,2,0.05,2.415561,1.586416
1,mse,2,0.1,4.634298,0.118461
1,mse,3,0.05,1.820153,2.002443
1,mse,3,0.1,4.634299,0.118366
1,mse,4,0.05,1.903516,2.073763
1,mse,4,0.1,4.634294,0.11841
1,mse,5,0.05,1.870615,2.152944
1,mse,5,0.1,4.634303,0.118338
1,mse,6,0.05,2.025895,2.065274
1,mse,6,0.1,4.634305,0.118437
1,mse,7,0.05,1.903097,2.113899
1,mse,7,0.1,4.634302,0.11839
1,mse,8,0.05,1.761255,1.95184
1,mse,8,0.1,4.634306,0.118408
1,mse,9,0.05,1.701932,2.156082
1,mse,9,0.1,4.634299,0.118359
1,mse,10,0.05,2.211743,1.794095
1,mse,10,0.1,4.6343,0.118362
1,mse,11,0.05,2.098889,1.774748
1,mse,11,0.1,4.634305,0.11835
1,mse,12,0.05,2.021445,2.269186
1,mse,12,0.1,4.634288,0.118403
1,mse,13,0.05,2.492595,1.43007
1,mse,13,0.1,4.634295,0.118405
2,mae,0,0.05,3.959761,4.408886
2,mae,0,0.1,7.349889,1.027682
2,mae,1,0.05,4.305183,4.084625
2,mae,1,0.1,7.349886,1.027743
2,mae,2,0.05,4.169621,4.229975
2,mae,2,0.1,7.34988,1.027604
2,mae,3,0.05,3.902209,4.18108
2,mae,3,0.1,7.349891,1.027708
2,mae,4,0.05,4.391991,4.047922
2,mae,4,0.1,7.349895,1.027774
2,mae,5,0.05,4.292335,4.083846
2,mae,5,0.1,7.349891,1.027717
2,mae,6,0.05,4.695148,3.749578
2,mae,6,0.1,7.349889,1.027725
2,mae,7,0.05,4.240592,4.492298
2,mae,7,0.1,7.349895,1.02753
2,mae,8,0.05,4.198412,4.338147
2,mae,8,0.1,7.349891,1.027866
2,mae,9,0.05,3.958947,4.52412
2,mae,9,0.1,7.349893,1.027576
2,mae,10,0.05,4.430259,4.533595
2,mae,10,0.1,7.349889,1.027852
2,mae,11,0.05,4.414232,4.286756
2,mae,11,0.1,7.349885,1.027611
2,mae,12,0.05,4.106569,4.176106
2,mae,12,0.1,7.349908,1.027585
2,mae,13,0.05,4.067714,4.265637
2,mae,13,0.1,7.349891,1.0276
2,mse,0,0.05,1.983522,2.320035
2,mse,0,0.1,5.269884,0.124618
2,mse,1,0.05,2.084665,1.993151
2,mse,1,0.1,5.269885,0.12465
2,mse,2,0.05,2.191998,1.928905
2,mse,2,0.1,5.269876,0.124598
2,mse,3,0.05,1.876039,2.070286
2,mse,3,0.1,5.269889,0.124629
2,mse,4,0.05,2.265536,1.976221
2,mse,4,0.1,5.269891,0.124636
2,mse,5,0.05,2.107739,2.020133
2,mse,5,0.1,5.269889,0.12464
2,mse,6,0.05,2.298251,1.744665
2,mse,6,0.1,5.269888,0.124646
2,mse,7,0.05,2.219207,2.352356
2,mse,7,0.1,5.269893,0.124594
2,mse,8,0.05,1.914508,2.150696
2,mse,8,0.1,5.26989,0.124665
2,mse,9,0.05,1.710588,2.267316
2,mse,9,0.1,5.269884,0.124605
2,mse,10,0.05,2.309765,2.138631
2,mse,10,0.1,5.269886,0.12466
2,mse,11,0.05,2.313015,1.976803
2,mse,11,0.1,5.269882,0.12462
2,mse,12,0.05,1.890869,2.095812
2,mse,12,0.1,5.269902,0.124605
2,mse,13,0.05,2.10937,1.872787
2,mse,13,0.1,5.269883,0.124612
3,mae,0,0.05,3.792085,4.832068
3,mae,0,0.1,7.50303,1.008133
3,mae,1,0.05,4.017669,4.427973
3,mae,1,0.1,7.503039,1.007929
3,mae,2,0.05,4.34626,4.32154
