batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.119279,7.632698
0,mae,0,0.1,2.776394,7.368913
0,mae,1,0.05,1.773126,7.732297
0,mae,1,0.1,2.496332,7.508662
0,mae,2,0.05,2.053189,7.587276
0,mae,2,0.1,2.751899,7.498355
0,mae,3,0.05,2.290784,7.63312
0,mae,3,0.1,3.010034,7.41301
0,mae,4,0.05,2.211587,7.6058
0,mae,4,0.1,2.845997,7.468714
0,mae,5,0.05,1.678686,7.5731
0,mae,5,0.1,2.374568,7.308015
0,mae,6,0.05,1.792492,7.908293
0,mae,6,0.1,2.39772,7.828265
0,mae,7,0.05,1.607026,7.650203
0,mae,7,0.1,2.723048,7.265407
0,mae,8,0.05,1.60821,7.773176
0,mae,8,0.1,2.751557,7.551463
0,mae,9,0.05,1.698154,7.724378
0,mae,9,0.1,2.363394,7.479074
0,mae,10,0.05,2.015161,7.735646
0,mae,10,0.1,2.981435,7.351544
0,mae,11,0.05,1.944557,7.545622
0,mae,11,0.1,2.721284,7.341383
0,mae,12,0.05,2.257603,7.4807
0,mae,12,0.1,2.827867,7.222754
0,mae,13,0.05,1.45641,7.83394
0,mae,13,0.1,2.203556,7.751685
0,mse,0,0.05,0.526734,6.5226
0,mse,0,0.1,0.852861,6.054491
0,mse,1,0.05,0.404897,6.616155
0,mse,1,0.1,0.747679,6.397422
0,mse,2,0.05,0.479738,6.438354
0,mse,2,0.1,0.816892,6.271558
0,mse,3,0.05,0.672715,6.461802
0,mse,3,0.1,1.101472,6.03943
0,mse,4,0.05,0.615332,6.507586
0,mse,4,0.1,1.001944,6.269535
0,mse,5,0.05,0.438978,6.330724
0,mse,5,0.1,0.750896,6.014079
0,mse,6,0.05,0.414931,6.894773
0,mse,6,0.1,0.717681,6.715878
0,mse,7,0.05,0.354755,6.550919
0,mse,7,0.1,0.89157,6.077141
0,mse,8,0.05,0.329588,6.627813
0,mse,8,0.1,0.901289,6.296226
0,mse,9,0.05,0.362574,6.615985
0,mse,9,0.1,0.67618,6.21666
0,mse,10,0.05,0.490535,6.580228
0,mse,10,0.1,1.074189,6.024396
0,mse,11,0.05,0.505739,6.40909
0,mse,11,0.1,0.878261,6.150902
0,mse,12,0.05,0.572597,6.24514
0,mse,12,0.1,0.89819,5.940301
0,mse,13,0.05,0.310171,6.726344
0,mse,13,0.1,0.620023,6.614835
1,mae,0,0.05,1.792594,8.065975
1,mae,0,0.1,2.820598,7.737188
1,mae,1,0.05,1.955276,7.791732
1,mae,1,0.1,2.830555,7.502172
1,mae,2,0.05,2.189948,7.688143
1,mae,2,0.1,3.022312,7.283745
1,mae,3,0.05,2.569154,7.768092
1,mae,3,0.1,3.284145,7.330174
1,mae,4,0.05,2.550586,7.6521
1,mae,4,0.1,3.427669,7.071225
1,mae,5,0.05,2.35758,7.377973
1,mae,5,0.1,3.028162,7.261064
1,mae,6,0.05,2.184708,7.32174
1,mae,6,0.1,3.151295,7.082903
1,mae,7,0.05,2.113192,7.688665
1,mae,7,0.1,3.061348,7.527732
1,mae,8,0.05,2.034907,7.559447
1,mae,8,0.1,3.119054,7.233773
1,mae,9,0.05,2.546844,7.314418
1,mae,9,0.1,3.689059,6.905112
1,mae,10,0.05,2.615635,7.678523
1,mae,10,0.1,3.641432,7.251266
1,mae,11,0.05,2.477826,7.625508
1,mae,11,0.1,3.181899,7.297708
1,mae,12,0.05,2.472277,7.807003
1,mae,12,0.1,3.319643,7.429718
1,mae,13,0.05,1.676322,7.631078
1,mae,13,0.1,2.597153,7.33089
1,mse,0,0.05,0.390614,6.964712
1,mse,0,0.1,1.059415,6.402673
1,mse,1,0.05,0.559586,6.518669
1,mse,1,0.1,0.949741,6.074205
1,mse,2,0.05,0.587704,6.506965
1,mse,2,0.1,1.111337,5.958548
1,mse,3,0.05,0.965083,6.49128
1,mse,3,0.1,1.44723,5.938694
1,mse,4,0.05,0.92094,6.365719
1,mse,4,0.1,1.505706,5.688283
1,mse,5,0.05,0.73399,6.137657
1,mse,5,0.1,1.151187,5.896285
1,mse,6,0.05,0.707531,5.976202
1,mse,6,0.1,1.29278,5.65628
1,mse,7,0.05,0.644523,6.32895
1,mse,7,0.1,1.2306,6.07252
1,mse,8,0.05,0.614142,6.083904
1,mse,8,0.1,1.156846,5.587085
1,mse,9,0.05,0.917572,5.944252
1,mse,9,0.1,1.668628,5.352351
1,mse,10,0.05,1.045364,6.406356
1,mse,10,0.1,1.696437,5.632779
1,mse,11,0.05,0.832172,6.31802
1,mse,11,0.1,1.318873,5.88678
1,mse,12,0.05,0.780717,6.632997
1,mse,12,0.1,1.213905,6.04982
