batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.952665,7.630865
0,mae,0,0.1,4.774582,8.048779
0,mae,1,0.05,3.374126,8.103483
0,mae,1,0.1,3.932693,8.723495
0,mae,2,0.05,3.797234,7.843777
0,mae,2,0.1,4.31182,8.488824
0,mae,3,0.05,3.737326,7.887334
0,mae,3,0.1,4.342501,8.328572
0,mae,4,0.05,3.916477,7.923894
0,mae,4,0.1,4.515322,8.493472
0,mae,5,0.05,3.235589,8.150179
0,mae,5,0.1,4.243466,8.211222
0,mae,6,0.05,3.814029,7.801296
0,mae,6,0.1,4.950416,7.982092
0,mae,7,0.05,3.364152,8.067554
0,mae,7,0.1,4.161818,8.821395
0,mae,8,0.05,3.443931,8.37289
0,mae,8,0.1,4.172806,8.706746
0,mae,9,0.05,3.783898,8.237092
0,mae,9,0.1,4.517231,8.900517
0,mae,10,0.05,3.794225,8.040007
0,mae,10,0.1,4.409473,8.644989
0,mae,11,0.05,3.656468,8.027885
0,mae,11,0.1,4.833279,8.294007
0,mae,12,0.05,3.5487,8.027658
0,mae,12,0.1,4.167673,8.722384
0,mae,13,0.05,4.032985,7.8102
0,mae,13,0.1,4.778373,8.490347
0,mse,0,0.05,2.064102,6.105942
0,mse,0,0.1,2.983363,6.827487
0,mse,1,0.05,1.615596,7.135014
0,mse,1,0.1,2.362348,8.11042
0,mse,2,0.05,1.979731,6.827984
0,mse,2,0.1,2.418273,7.890551
0,mse,3,0.05,2.049395,6.88227
0,mse,3,0.1,2.696713,7.548659
0,mse,4,0.05,2.287512,6.654537
0,mse,4,0.1,2.831744,7.524034
0,mse,5,0.05,1.634725,7.158065
0,mse,5,0.1,2.60173,7.191488
0,mse,6,0.05,2.051197,6.979859
0,mse,6,0.1,3.202977,7.277596
0,mse,7,0.05,1.822241,6.735909
0,mse,7,0.1,2.527862,7.818198
0,mse,8,0.05,1.650209,7.334544
0,mse,8,0.1,2.213323,7.78446
0,mse,9,0.05,1.982505,7.096457
0,mse,9,0.1,2.629709,8.034967
0,mse,10,0.05,2.080109,7.016258
0,mse,10,0.1,2.762712,7.820526
0,mse,11,0.05,2.001422,6.829643
0,mse,11,0.1,3.223923,7.256353
0,mse,12,0.05,1.843262,6.914633
0,mse,12,0.1,2.564993,8.09638
0,mse,13,0.05,2.460459,6.753394
0,mse,13,0.1,3.179892,7.8241
1,mae,0,0.05,3.992562,8.663729
1,mae,0,0.1,4.635995,9.12472
1,mae,1,0.05,3.484128,8.763071
1,mae,1,0.1,4.26091,9.262096
1,mae,2,0.05,3.818093,7.92035
1,mae,2,0.1,4.345156,8.531423
1,mae,3,0.05,3.789044,8.520468
1,mae,3,0.1,4.5783,8.641444
1,mae,4,0.05,3.784585,8.127688
1,mae,4,0.1,4.707677,8.706228
1,mae,5,0.05,3.519251,8.387133
1,mae,5,0.1,4.381567,8.628405
1,mae,6,0.05,3.964334,8.263996
1,mae,6,0.1,5.212958,8.448542
1,mae,7,0.05,3.440753,8.62676
1,mae,7,0.1,4.366134,9.474605
1,mae,8,0.05,3.627769,8.666006
1,mae,8,0.1,4.381474,9.110577
1,mae,9,0.05,3.73829,8.348421
1,mae,9,0.1,4.77408,8.753859
1,mae,10,0.05,3.648572,8.580967
1,mae,10,0.1,4.484276,8.880732
1,mae,11,0.05,3.516954,8.52854
1,mae,11,0.1,4.697123,8.650205
1,mae,12,0.05,3.397383,8.797829
1,mae,12,0.1,4.132224,9.131018
1,mae,13,0.05,3.764802,8.822455
1,mae,13,0.1,4.936425,8.94983
1,mse,0,0.05,2.069098,8.411524
1,mse,0,0.1,2.903936,9.259821
1,mse,1,0.05,1.819291,8.776395
1,mse,1,0.1,2.838809,9.546805
1,mse,2,0.05,1.997353,6.894539
1,mse,2,0.1,2.530065,7.837034
1,mse,3,0.05,2.022552,7.886433
1,mse,3,0.1,2.831731,8.406466
1,mse,4,0.05,1.975717,7.203697
1,mse,4,0.1,2.939276,8.023487
1,mse,5,0.05,1.768901,7.680346
1,mse,5,0.1,2.736258,7.997058
1,mse,6,0.05,2.262092,7.204603
1,mse,6,0.1,3.638972,7.605677
1,mse,7,0.05,1.624343,8.211544
1,mse,7,0.1,2.390148,9.388934
1,mse,8,0.05,1.765349,8.280787
1,mse,8,0.1,2.607477,9.02836
1,mse,9,0.05,1.870532,7.466845
1,mse,9,0.1,2.899423,8.109984
1,mse,10,0.05,1.936801,7.956604
1,mse,10,0.1,2.788906,8.387362
1,mse,11,0.05,1.733537,7.846306
1,mse,11,0.1,2.9536,8.047078
1,mse,12,0.05,1.612373,8.607454
1,mse,12,0.1,2.512741,9.209126
1,mse,13,0.05,2.057167,8.101845
1,mse,13,0.1,3.418737,8.249862
2,mae,0,0.05,5.118226,8.964459
2,mae,0,0.1,5.935432,9.485288
2,mae,1,0.05,4.339041,9.221913
2,mae,1,0.1,5.203039,10.260122
2,mae,2,0.05,4.669939,8.95318
2,mae,2,0.1,5.574123,9.747486
2,mae,3,0.05,4.826468,9.229167
2,mae,3,0.1,5.738325,10.002992
2,mae,4,0.05,4.318653,9.383462
2,mae,4,0.1,5.641812,9.961616
2,mae,5,0.05,3.930037,9.148991
2,mae,5,0.1,5.037793,9.715447
2,mae,6,0.05,4.739492,9.387644
2,mae,6,0.1,6.15293,9.983814
2,mae,7,0.05,4.306724,9.782661
2,mae,7,0.1,5.205585,10.547661
2,mae,8,0.05,4.276694,9.379257
2,mae,8,0.1,5.162437,10.150944
2,mae,9,0.05,4.645442,9.192984
2,mae,9,0.1,5.859956,10.079168
2,mae,10,0.05,4.217147,9.514561
2,mae,10,0.1,5.357809,9.688033
2,mae,11,0.05,4.498425,9.416347
2,mae,11,0.1,5.988773,10.138203
2,mae,12,0.05,4.246058,9.483893
2,mae,12,0.1,5.333195,9.98937
2,mae,13,0.05,3.970958,9.933958
2,mae,13,0.1,5.362455,10.879025
2,mse,0,0.05,3.249831,8.84609
2,mse,0,0.1,4.373096,9.582851
2,mse,1,0.05,2.658211,9.291029
2,mse,1,0.1,3.957183,11.081369
2,mse,2,0.05,2.979259,8.544058
2,mse,2,0.1,4.466947,10.653985
2,mse,3,0.05,3.034375,9.514882
2,mse,3,0.1,4.281793,11.162243
2,mse,4,0.05,2.649548,9.511167
2,mse,4,0.1,4.446264,10.942888
2,mse,5,0.05,2.146254,9.580162
2,mse,5,0.1,3.321168,10.588379
2,mse,6,0.05,2.951829,10.425737
2,mse,6,0.1,5.049408,12.002383
2,mse,7,0.05,2.323769,10.159502
2,mse,7,0.1,3.343921,11.639011
2,mse,8,0.05,2.355102,9.598663
2,mse,8,0.1,3.401833,11.030989
2,mse,9,0.05,2.927767,9.105513
2,mse,9,0.1,4.395491,10.874674
2,mse,10,0.05,2.426274,10.130453
2,mse,10,0.1,3.777563,10.665136
2,mse,11,0.05,2.696914,9.830809
2,mse,11,0.1,4.504673,11.321507
2,mse,12,0.05,2.198149,10.230744
2,mse,12,0.1,3.664358,11.632226
2,mse,13,0.05,2.296352,11.092121
2,mse,13,0.1,4.158833,12.991663
3,mae,0,0.05,11.311531,11.474699
3,mae,0,0.1,12.972042,10.828232
3,mae,1,0.05,12.246775,10.067564
3,mae,1,0.1,13.588274,10.49021
3,mae,2,0.05,12.50663,9.289423
3,mae,2,0.1,15.136885,8.208616
3,mae,3,0.05,10.242249,12.364302
3,mae,3,0.1,12.820019,11.728308
3,mae,4,0.05,12.676835,9.660362
3,mae,4,0.1,15.265714,8.738558
3,mae,5,0.05,10.562534,13.167116
3,mae,5,0.1,11.660248,13.18015
3,mae,6,0.05,11.575656,10.698627
3,mae,6,0.1,13.185541,11.112971
3,mae,7,0.05,11.883566,10.043585
3,mae,7,0.1,13.989857,9.701422
3,mae,8,0.05,12.494658,9.819847
3,mae,8,0.1,14.953503,8.918314
3,mae,9,0.05,12.652718,9.471129
3,mae,9,0.1,15.187289,8.636433
3,mae,10,0.05,12.273303,10.348608
3,mae,10,0.1,14.90378,9.432758
3,mae,11,0.05,12.41448,10.06757
3,mae,11,0.1,14.489926,9.804683
3,mae,12,0.05,10.033034,13.556685
3,mae,12,0.1,12.260874,13.003778
3,mae,13,0.05,9.770941,13.521289
3,mae,13,0.1,11.23742,14.058784
3,mse,0,0.05,102.942215,25.1085
3,mse,0,0.1,130.202194,16.139393
3,mse,1,0.05,120.114586,16.425095
3,mse,1,0.1,131.876709,15.551105
3,mse,2,0.05,118.559158,12.01306
3,mse,2,0.1,165.576721,7.995317
3,mse,3,0.05,56.695312,63.875397
3,mse,3,0.1,93.593338,49.802063
3,mse,4,0.05,121.282524,14.539503
3,mse,4,0.1,164.706528,8.250836
3,mse,5,0.05,67.962204,64.55088
3,mse,5,0.1,71.136002,64.487976
3,mse,6,0.05,112.505775,18.389696
3,mse,6,0.1,115.396263,19.153242
3,mse,7,0.05,119.382904,15.534521
3,mse,7,0.1,148.889603,10.65759
3,mse,8,0.05,118.721947,14.48551
3,mse,8,0.1,165.519958,8.548911
3,mse,9,0.05,118.860069,12.09236
3,mse,9,0.1,164.59642,8.197649
3,mse,10,0.05,122.626595,14.792999
3,mse,10,0.1,160.96904,11.12132
3,mse,11,0.05,122.230286,14.210695
3,mse,11,0.1,146.484802,12.391742
3,mse,12,0.05,67.50013,65.431915
3,mse,12,0.1,92.485512,53.20966
3,mse,13,0.05,63.78146,62.398811
3,mse,13,0.1,67.595863,63.481091
4,mae,0,0.05,3.851463,8.449333
4,mae,0,0.1,4.77876,8.66358
4,mae,1,0.05,3.364892,9.173273
4,mae,1,0.1,3.903919,9.687837
4,mae,2,0.05,3.469299,8.765255
4,mae,2,0.1,4.251819,9.218551
4,mae,3,0.05,3.944064,8.411094
4,mae,3,0.1,4.696057,8.649337
4,mae,4,0.05,3.255444,8.8154
4,mae,4,0.1,3.952513,9.228729
4,mae,5,0.05,3.184821,8.435516
4,mae,5,0.1,4.085751,8.618271
4,mae,6,0.05,3.887839,8.314198
4,mae,6,0.1,4.8648,8.622606
4,mae,7,0.05,3.337881,8.942612
4,mae,7,0.1,3.985573,9.485039
4,mae,8,0.05,3.374656,8.870689
4,mae,8,0.1,4.388156,9.313618
4,mae,9,0.05,3.639647,8.785798
4,mae,9,0.1,4.281181,9.609139
4,mae,10,0.05,3.49285,8.891078
4,mae,10,0.1,4.162475,9.238418
4,mae,11,0.05,3.222651,8.773295
4,mae,11,0.1,4.352496,8.929751
4,mae,12,0.05,3.255263,8.881628
4,mae,12,0.1,3.88099,9.291153
4,mae,13,0.05,3.571401,8.884147
4,mae,13,0.1,4.551943,9.310402
4,mse,0,0.05,1.795795,7.351491
4,mse,0,0.1,2.880483,7.813144
4,mse,1,0.05,1.558758,8.558504
4,mse,1,0.1,2.269333,9.326286
4,mse,2,0.05,1.538994,7.916049
4,mse,2,0.1,2.301194,8.738014
4,mse,3,0.05,2.09032,7.225029
4,mse,3,0.1,3.003286,7.723329
4,mse,4,0.05,1.322245,7.953924
4,mse,4,0.1,1.89669,8.818666
4,mse,5,0.05,1.34872,7.274128
4,mse,5,0.1,2.114801,7.628621
4,mse,6,0.05,1.982474,7.037128
4,mse,6,0.1,2.970722,7.746738
4,mse,7,0.05,1.374826,8.083388
4,mse,7,0.1,1.887351,8.72896
4,mse,8,0.05,1.409155,7.938935
4,mse,8,0.1,2.344202,8.602446
4,mse,9,0.05,1.709702,7.796368
4,mse,9,0.1,2.288531,9.099991
4,mse,10,0.05,1.705308,7.900735
4,mse,10,0.1,2.280044,8.256302
4,mse,11,0.05,1.33165,7.978989
4,mse,11,0.1,2.283527,8.324648
4,mse,12,0.05,1.3465,8.082929
4,mse,12,0.1,1.988303,8.97426
4,mse,13,0.05,1.810257,7.897531
4,mse,13,0.1,2.812278,8.520939
5,mae,0,0.05,4.286391,7.794807
5,mae,0,0.1,4.997576,8.126863
5,mae,1,0.05,3.845792,8.085691
5,mae,1,0.1,4.640394,8.921985
5,mae,2,0.05,4.271384,7.955655
5,mae,2,0.1,5.100876,8.566016
5,mae,3,0.05,4.185692,7.73224
5,mae,3,0.1,4.770407,8.171972
5,mae,4,0.05,4.257025,7.71153
5,mae,4,0.1,5.203116,8.664206
5,mae,5,0.05,4.023139,8.085897
5,mae,5,0.1,5.353656,7.805858
5,mae,6,0.05,4.059037,8.342871
5,mae,6,0.1,5.213293,8.628384
5,mae,7,0.05,3.733104,8.274039
5,mae,7,0.1,4.432942,8.711742
5,mae,8,0.05,3.944833,7.996281
5,mae,8,0.1,4.581026,8.716446
5,mae,9,0.05,4.504118,7.765658
5,mae,9,0.1,5.112978,8.570215
5,mae,10,0.05,4.220026,7.893578
5,mae,10,0.1,5.183475,8.117807
5,mae,11,0.05,4.240381,7.829982
5,mae,11,0.1,5.245198,8.361334
5,mae,12,0.05,4.00125,8.138185
5,mae,12,0.1,4.954756,8.630838
5,mae,13,0.05,3.969974,8.682129
5,mae,13,0.1,5.106128,9.158296
5,mse,0,0.05,2.327311,6.644939
5,mse,0,0.1,3.312018,7.213021
5,mse,1,0.05,2.374278,7.04382
5,mse,1,0.1,3.375348,8.304089
5,mse,2,0.05,2.719425,6.767624
5,mse,2,0.1,3.971377,7.837469
5,mse,3,0.05,2.725583,6.829183
5,mse,3,0.1,3.355594,7.591812
5,mse,4,0.05,2.908762,6.403245
5,mse,4,0.1,3.949543,7.851034
5,mse,5,0.05,2.661686,6.768441
5,mse,5,0.1,3.955531,6.450251
5,mse,6,0.05,2.625168,7.329217
5,mse,6,0.1,3.96227,8.037602
5,mse,7,0.05,2.063742,7.190152
5,mse,7,0.1,2.850909,7.810815
5,mse,8,0.05,2.36124,6.935025
5,mse,8,0.1,2.98631,7.976304
5,mse,9,0.05,2.986064,6.231964
5,mse,9,0.1,3.843605,7.415246
5,mse,10,0.05,2.724135,6.840235
5,mse,10,0.1,3.931632,7.241525
5,mse,11,0.05,2.67963,6.515236
5,mse,11,0.1,3.902446,7.320568
5,mse,12,0.05,2.601734,6.883062
5,mse,12,0.1,3.893444,7.688375
5,mse,13,0.05,2.480893,7.861625
5,mse,13,0.1,3.787814,8.695616
6,mae,0,0.05,14.048717,10.700256
6,mae,0,0.1,16.253836,9.859181
6,mae,1,0.05,13.519629,11.03548
6,mae,1,0.1,16.032707,10.366564
6,mae,2,0.05,13.147566,11.721931
6,mae,2,0.1,15.951084,10.806833
6,mae,3,0.05,15.094746,10.310692
6,mae,3,0.1,17.093422,9.796324
6,mae,4,0.05,14.35589,11.351969
6,mae,4,0.1,16.233406,10.992983
6,mae,5,0.05,14.480967,10.875162
6,mae,5,0.1,16.327291,10.434044
6,mae,6,0.05,11.857535,12.426841
6,mae,6,0.1,15.338133,10.809311
6,mae,7,0.05,15.446665,9.330775
6,mae,7,0.1,18.706364,7.986276
6,mae,8,0.05,14.508053,10.178063
6,mae,8,0.1,16.616751,9.590059
6,mae,9,0.05,13.649051,10.852907
6,mae,9,0.1,17.338434,9.336607
6,mae,10,0.05,14.243486,10.388594
6,mae,10,0.1,16.763584,9.393277
6,mae,11,0.05,15.264184,9.478565
6,mae,11,0.1,17.912987,8.904792
6,mae,12,0.05,15.18872,9.87293
6,mae,12,0.1,17.5816,9.477542
6,mae,13,0.05,11.571587,13.456448
6,mae,13,0.1,13.604651,13.304829
6,mse,0,0.05,67.974564,20.027618
6,mse,0,0.1,85.619522,13.340774
6,mse,1,0.05,68.308136,20.518116
6,mse,1,0.1,86.985367,14.007858
6,mse,2,0.05,68.40303,25.814569
6,mse,2,0.1,82.82795,19.626286
6,mse,3,0.05,77.593811,21.821272
6,mse,3,0.1,94.849823,18.404728
6,mse,4,0.05,80.579315,23.724184
6,mse,4,0.1,92.288589,20.81241
6,mse,5,0.05,80.983124,22.792042
6,mse,5,0.1,94.154129,19.088575
6,mse,6,0.05,48.025543,33.844761
6,mse,6,0.1,92.309212,16.808752
6,mse,7,0.05,82.322845,11.207409
6,mse,7,0.1,110.604233,7.29784
6,mse,8,0.05,76.318222,16.03845
6,mse,8,0.1,87.416733,12.474787
6,mse,9,0.05,72.54483,19.78651
6,mse,9,0.1,103.429016,13.112743
6,mse,10,0.05,74.725578,18.338266
6,mse,10,0.1,99.562111,14.238821
6,mse,11,0.05,84.275047,15.063395
6,mse,11,0.1,102.347473,13.338387
6,mse,12,0.05,85.251572,15.048505
6,mse,12,0.1,102.523544,14.249763
6,mse,13,0.05,40.473618,45.888458
6,mse,13,0.1,49.839729,41.766533
7,mae,0,0.05,5.474493,8.518042
7,mae,0,0.1,6.873923,8.692089
7,mae,1,0.05,4.952493,9.029188
7,mae,1,0.1,6.203979,9.38344
7,mae,2,0.05,5.722198,8.483912
7,mae,2,0.1,7.130705,8.863977
7,mae,3,0.05,5.716816,8.419827
7,mae,3,0.1,7.051341,8.511261
7,mae,4,0.05,6.417097,8.550792
7,mae,4,0.1,7.267662,9.0228
7,mae,5,0.05,5.959813,8.494581
7,mae,5,0.1,7.129984,8.528296
7,mae,6,0.05,5.491591,8.947403
7,mae,6,0.1,7.022794,8.876497
7,mae,7,0.05,6.09728,8.399116
7,mae,7,0.1,7.279319,9.043222
7,mae,8,0.05,5.575199,8.834972
7,mae,8,0.1,6.450461,9.079782
7,mae,9,0.05,6.45435,8.136063
7,mae,9,0.1,7.597823,8.829008
7,mae,10,0.05,6.070784,8.752806
7,mae,10,0.1,7.009554,9.127151
7,mae,11,0.05,6.511549,8.313077
7,mae,11,0.1,7.776716,8.437782
7,mae,12,0.05,5.959242,8.70535
7,mae,12,0.1,7.358897,8.815199
7,mae,13,0.05,5.527805,9.570784
7,mae,13,0.1,6.794369,9.738292
7,mse,0,0.05,5.047854,7.973605
7,mse,0,0.1,7.582215,8.34479
7,mse,1,0.05,4.035419,9.151871
7,mse,1,0.1,6.011959,9.870415
7,mse,2,0.05,4.826933,8.38269
7,mse,2,0.1,7.449092,8.652441
7,mse,3,0.05,5.511825,7.625915
7,mse,3,0.1,7.672661,7.967224
7,mse,4,0.05,7.241991,7.375583
7,mse,4,0.1,8.544147,8.266772
7,mse,5,0.05,6.268755,7.357506
7,mse,5,0.1,8.101072,7.456682
7,mse,6,0.05,4.501322,8.719641
7,mse,6,0.1,6.809243,8.812777
7,mse,7,0.05,6.42942,7.248538
7,mse,7,0.1,8.402591,8.066729
