batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.572959,8.594553
0,mae,0,0.1,3.315685,8.771994
0,mae,1,0.05,2.435252,8.646437
0,mae,1,0.1,2.936939,9.108543
0,mae,2,0.05,2.90566,8.583918
0,mae,2,0.1,3.516016,8.757103
0,mae,3,0.05,2.562577,8.58742
0,mae,3,0.1,3.400809,8.908502
0,mae,4,0.05,2.764644,8.792567
0,mae,4,0.1,2.982503,9.097705
0,mae,5,0.05,2.521355,8.396601
0,mae,5,0.1,3.139418,8.694145
0,mae,6,0.05,3.049025,8.055815
0,mae,6,0.1,3.596633,8.245625
0,mae,7,0.05,2.881803,9.258907
0,mae,7,0.1,3.497018,9.884613
0,mae,8,0.05,2.613967,8.831108
0,mae,8,0.1,2.99877,9.007311
0,mae,9,0.05,3.046922,8.978107
0,mae,9,0.1,3.578304,9.345577
0,mae,10,0.05,2.69175,8.82596
0,mae,10,0.1,3.174476,9.130485
0,mae,11,0.05,2.813605,8.791596
0,mae,11,0.1,3.160458,8.9249
0,mae,12,0.05,2.364208,8.693332
0,mae,12,0.1,2.746401,8.982324
0,mae,13,0.05,2.836455,8.832682
0,mae,13,0.1,3.433736,9.334476
0,mse,0,0.05,1.053547,7.578655
0,mse,0,0.1,1.638789,8.046593
0,mse,1,0.05,1.055461,7.66956
0,mse,1,0.1,1.547205,8.462985
0,mse,2,0.05,1.366428,7.540352
0,mse,2,0.1,2.001223,7.885405
0,mse,3,0.05,0.991991,7.750109
0,mse,3,0.1,1.706612,8.181032
0,mse,4,0.05,0.952761,7.900263
0,mse,4,0.1,1.077951,8.379604
0,mse,5,0.05,0.945941,7.245761
0,mse,5,0.1,1.27498,7.693242
0,mse,6,0.05,1.348415,6.739948
0,mse,6,0.1,1.863352,7.120328
0,mse,7,0.05,1.160909,8.429849
0,mse,7,0.1,1.596719,9.310978
0,mse,8,0.05,1.015353,7.890434
0,mse,8,0.1,1.374151,8.152738
0,mse,9,0.05,1.293457,8.073465
0,mse,9,0.1,1.806229,8.599396
0,mse,10,0.05,0.979227,7.94346
0,mse,10,0.1,1.434217,8.415592
0,mse,11,0.05,1.026314,7.842632
0,mse,11,0.1,1.343555,8.084544
0,mse,12,0.05,0.880394,7.752522
0,mse,12,0.1,1.21248,8.318739
0,mse,13,0.05,1.116949,7.874538
0,mse,13,0.1,1.711781,8.590084
1,mae,0,0.05,2.834054,8.691806
1,mae,0,0.1,3.676835,8.760513
1,mae,1,0.05,3.248731,8.881527
1,mae,1,0.1,3.615938,9.297565
1,mae,2,0.05,2.88711,9.148773
1,mae,2,0.1,3.567819,9.193377
1,mae,3,0.05,2.894129,9.315247
1,mae,3,0.1,3.539897,9.619119
1,mae,4,0.05,3.578619,9.108913
1,mae,4,0.1,4.008988,9.481581
1,mae,5,0.05,3.286895,8.747564
1,mae,5,0.1,3.911601,8.937511
1,mae,6,0.05,3.576562,8.592504
1,mae,6,0.1,4.230241,8.643248
1,mae,7,0.05,3.458901,9.431654
1,mae,7,0.1,4.021694,10.055862
1,mae,8,0.05,3.139651,8.996149
1,mae,8,0.1,3.540787,9.241183
1,mae,9,0.05,3.397858,9.418486
1,mae,9,0.1,3.898935,9.903102
1,mae,10,0.05,3.411434,9.544329
1,mae,10,0.1,3.651799,9.889296
1,mae,11,0.05,2.966496,9.236206
1,mae,11,0.1,3.524427,9.595097
1,mae,12,0.05,2.879666,9.136839
