batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,1.869925,7.29393
0,mae,0,0.1,2.573798,7.266352
0,mae,1,0.05,1.951731,7.074701
0,mae,1,0.1,2.552737,6.950427
0,mae,2,0.05,2.028984,7.067896
0,mae,2,0.1,2.765181,6.861332
0,mae,3,0.05,2.325673,7.108515
0,mae,3,0.1,2.70485,7.094777
0,mae,4,0.05,2.04699,7.324096
0,mae,4,0.1,2.827405,7.053977
0,mae,5,0.05,1.707706,7.094779
0,mae,5,0.1,2.573272,6.88812
0,mae,6,0.05,1.544438,7.327536
0,mae,6,0.1,2.210699,7.28521
0,mae,7,0.05,1.682135,7.124986
0,mae,7,0.1,2.66676,6.919578
0,mae,8,0.05,2.03732,7.007333
0,mae,8,0.1,2.658791,7.016881
0,mae,9,0.05,1.604824,7.176495
0,mae,9,0.1,2.71271,6.721128
0,mae,10,0.05,2.18209,6.893075
0,mae,10,0.1,2.94301,6.88196
0,mae,11,0.05,1.892332,7.156369
0,mae,11,0.1,2.453744,7.142448
0,mae,12,0.05,2.244667,6.888923
0,mae,12,0.1,2.694292,6.998491
0,mae,13,0.05,1.366541,7.413424
0,mae,13,0.1,2.20656,7.423089
0,mse,0,0.05,0.423095,5.671428
0,mse,0,0.1,0.80534,5.649866
0,mse,1,0.05,0.561714,5.405215
0,mse,1,0.1,0.880661,5.220401
0,mse,2,0.05,0.530869,5.457293
0,mse,2,0.1,0.949347,5.131471
0,mse,3,0.05,0.765737,5.350513
0,mse,3,0.1,1.005988,5.39003
0,mse,4,0.05,0.537889,5.842782
0,mse,4,0.1,0.981761,5.443268
0,mse,5,0.05,0.372679,5.59622
0,mse,5,0.1,0.78789,5.224022
0,mse,6,0.05,0.295958,5.913876
0,mse,6,0.1,0.572865,5.913237
0,mse,7,0.05,0.444243,5.567851
0,mse,7,0.1,0.918166,5.276066
0,mse,8,0.05,0.578959,5.353868
0,mse,8,0.1,0.988534,5.346998
0,mse,9,0.05,0.374366,5.660255
0,mse,9,0.1,0.988743,5.203283
0,mse,10,0.05,0.71491,5.109856
0,mse,10,0.1,1.174495,5.058764
0,mse,11,0.05,0.471319,5.674459
0,mse,11,0.1,0.751969,5.598993
0,mse,12,0.05,0.588195,5.224685
0,mse,12,0.1,0.823287,5.353223
0,mse,13,0.05,0.234895,5.950863
0,mse,13,0.1,0.58142,5.866235
1,mae,0,0.05,2.294899,7.501314
1,mae,0,0.1,3.006445,7.221816
1,mae,1,0.05,2.179206,7.402408
1,mae,1,0.1,2.82674,7.44644
1,mae,2,0.05,2.401378,7.287449
1,mae,2,0.1,2.909582,7.326035
1,mae,3,0.05,2.177384,7.495989
1,mae,3,0.1,2.989786,7.54466
1,mae,4,0.05,2.658661,7.036862
1,mae,4,0.1,3.435661,6.743003
1,mae,5,0.05,1.837413,7.095965
1,mae,5,0.1,2.44412,7.141946
1,mae,6,0.05,1.808364,7.711102
1,mae,6,0.1,2.585005,7.48559
1,mae,7,0.05,1.885037,7.509036
1,mae,7,0.1,2.972015,7.102297
1,mae,8,0.05,2.292362,7.241334
1,mae,8,0.1,3.319841,6.936472
1,mae,9,0.05,2.321197,7.319142
1,mae,9,0.1,2.955166,7.193932
1,mae,10,0.05,2.326407,7.423138
1,mae,10,0.1,2.965252,7.435107
1,mae,11,0.05,2.292603,7.35281
1,mae,11,0.1,3.039161,7.067481
1,mae,12,0.05,2.264351,7.405244
1,mae,12,0.1,2.939724,7.307639
1,mae,13,0.05,1.63642,7.507487
1,mae,13,0.1,2.289964,7.538131
1,mse,0,0.05,0.651859,6.185308
1,mse,0,0.1,1.13651,5.748597
1,mse,1,0.05,0.837325,5.979816
1,mse,1,0.1,1.279764,6.069783
1,mse,2,0.05,0.73634,5.829179
1,mse,2,0.1,1.095839,5.886069
1,mse,3,0.05,0.657062,6.378389
1,mse,3,0.1,1.160565,6.466534
1,mse,4,0.05,1.009525,5.571778
1,mse,4,0.1,1.698594,5.257291
1,mse,5,0.05,0.534618,5.532189
1,mse,5,0.1,0.84394,5.618399
1,mse,6,0.05,0.445049,6.398756
1,mse,6,0.1,0.850914,6.17415
1,mse,7,0.05,0.625584,6.305397
1,mse,7,0.1,1.206552,5.762013
1,mse,8,0.05,0.928744,5.656825
1,mse,8,0.1,1.562882,5.257599
1,mse,9,0.05,0.869696,5.90957
1,mse,9,0.1,1.326641,5.677059
1,mse,10,0.05,0.76606,6.309613
1,mse,10,0.1,1.142455,6.232265
1,mse,11,0.05,0.808428,6.037782
1,mse,11,0.1,1.249411,5.753963
1,mse,12,0.05,0.740544,6.007792
1,mse,12,0.1,1.041155,5.833633
1,mse,13,0.05,0.485842,6.101848
1,mse,13,0.1,0.790506,6.22055
2,mae,0,0.05,2.840676,8.242164
2,mae,0,0.1,3.610723,8.476484
2,mae,1,0.05,2.88348,8.114455
2,mae,1,0.1,3.542906,8.233036
2,mae,2,0.05,2.774556,8.680901
2,mae,2,0.1,3.498798,8.642212
2,mae,3,0.05,2.872788,8.27507
2,mae,3,0.1,3.51655,8.429538
2,mae,4,0.05,2.658215,8.055121
2,mae,4,0.1,3.398352,7.975657
2,mae,5,0.05,2.157095,8.003506
2,mae,5,0.1,2.794953,8.085119
2,mae,6,0.05,2.828529,7.911393
2,mae,6,0.1,3.732036,7.749512
2,mae,7,0.05,2.140044,8.182731
2,mae,7,0.1,2.792013,8.147703
2,mae,8,0.05,2.792881,8.055958
2,mae,8,0.1,3.701876,7.889978
2,mae,9,0.05,2.465059,8.149084
2,mae,9,0.1,3.49157,8.159069
2,mae,10,0.05,2.790009,8.328268
2,mae,10,0.1,3.527599,8.323633
2,mae,11,0.05,2.694527,8.236259
2,mae,11,0.1,3.626013,8.263912
2,mae,12,0.05,3.020849,7.965524
2,mae,12,0.1,3.783118,8.021523
2,mae,13,0.05,2.658859,8.197445
2,mae,13,0.1,3.307423,8.523088
2,mse,0,0.05,1.135209,7.427491
2,mse,0,0.1,1.691852,8.005222
2,mse,1,0.05,1.145489,7.446438
2,mse,1,0.1,1.604483,7.569657
2,mse,2,0.05,1.074149,8.112008
2,mse,2,0.1,1.503759,8.158202
2,mse,3,0.05,1.006718,7.74068
2,mse,3,0.1,1.565713,7.975827
2,mse,4,0.05,0.850027,7.460038
2,mse,4,0.1,1.392091,7.528249
2,mse,5,0.05,0.615815,7.104278
2,mse,5,0.1,1.094733,7.274854
2,mse,6,0.05,1.073782,7.319768
2,mse,6,0.1,1.939054,7.080876
2,mse,7,0.05,0.580743,7.335828
2,mse,7,0.1,0.927882,7.383349
2,mse,8,0.05,1.271816,7.122332
2,mse,8,0.1,1.780089,7.078126
2,mse,9,0.05,0.90341,7.579926
