batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.05408,7.01701
0,mae,0,0.1,3.875664,6.700664
0,mae,1,0.05,2.24303,7.674851
0,mae,1,0.1,2.977615,7.394868
0,mae,2,0.05,2.388055,7.497106
0,mae,2,0.1,3.072632,7.534296
0,mae,3,0.05,2.628387,7.570052
0,mae,3,0.1,3.369131,7.418692
0,mae,4,0.05,2.92709,7.258649
0,mae,4,0.1,4.021951,6.925776
0,mae,5,0.05,2.583118,7.395746
0,mae,5,0.1,3.570122,7.220671
0,mae,6,0.05,2.919197,7.19172
0,mae,6,0.1,3.859087,6.971216
0,mae,7,0.05,2.493937,7.3566
0,mae,7,0.1,3.337625,7.182504
0,mae,8,0.05,3.079718,7.328249
0,mae,8,0.1,3.893808,6.93852
0,mae,9,0.05,2.146336,7.663875
0,mae,9,0.1,3.102652,7.489707
0,mae,10,0.05,2.707938,7.569892
0,mae,10,0.1,3.620168,7.29708
0,mae,11,0.05,2.703454,7.529586
0,mae,11,0.1,3.492957,7.469769
0,mae,12,0.05,2.430444,7.480473
0,mae,12,0.1,3.141996,7.603488
0,mae,13,0.05,2.343603,7.475491
0,mae,13,0.1,3.612533,7.23631
0,mse,0,0.05,1.222101,5.447981
0,mse,0,0.1,1.777655,5.03704
0,mse,1,0.05,0.609938,6.487314
0,mse,1,0.1,1.21272,6.060227
0,mse,2,0.05,0.757968,6.259021
0,mse,2,0.1,1.135722,6.359836
0,mse,3,0.05,0.926932,6.49185
0,mse,3,0.1,1.408359,6.049195
0,mse,4,0.05,1.198577,5.905181
0,mse,4,0.1,2.05102,5.476598
0,mse,5,0.05,0.885643,6.212957
0,mse,5,0.1,1.560477,5.978661
0,mse,6,0.05,1.113529,5.716444
0,mse,6,0.1,1.764992,5.410493
0,mse,7,0.05,0.800466,6.177692
0,mse,7,0.1,1.476781,5.740538
0,mse,8,0.05,1.40745,5.888548
0,mse,8,0.1,1.973842,5.296444
0,mse,9,0.05,0.674573,6.538873
0,mse,9,0.1,1.208977,6.232519
0,mse,10,0.05,1.041693,6.356976
0,mse,10,0.1,1.695065,5.974376
0,mse,11,0.05,0.89732,6.279238
0,mse,11,0.1,1.472956,6.12455
0,mse,12,0.05,0.812109,6.314926
0,mse,12,0.1,1.274301,6.47392
0,mse,13,0.05,0.725255,6.142076
0,mse,13,0.1,1.669672,5.738284
1,mae,0,0.05,2.911589,8.046821
1,mae,0,0.1,3.609617,8.038858
1,mae,1,0.05,2.364764,8.22036
1,mae,1,0.1,3.331473,8.146943
1,mae,2,0.05,2.845004,8.064589
1,mae,2,0.1,3.36077,8.002842
1,mae,3,0.05,3.023456,7.654929
1,mae,3,0.1,3.84707,7.524555
1,mae,4,0.05,3.182499,7.794004
1,mae,4,0.1,3.654118,7.748561
1,mae,5,0.05,2.546418,7.720295
1,mae,5,0.1,3.607504,7.684449
1,mae,6,0.05,3.484792,7.431531
1,mae,6,0.1,4.12309,7.303919
1,mae,7,0.05,2.431543,8.305986
1,mae,7,0.1,3.237037,8.242612
1,mae,8,0.05,3.107099,7.746408
1,mae,8,0.1,3.925774,7.688609
1,mae,9,0.05,2.971368,7.68902
1,mae,9,0.1,3.798765,7.519948
1,mae,10,0.05,2.777085,7.934891
1,mae,10,0.1,3.768822,7.40365
1,mae,11,0.05,2.815949,7.924354
1,mae,11,0.1,3.846829,7.689711
1,mae,12,0.05,2.562494,8.013278
1,mae,12,0.1,3.423631,7.870063
1,mae,13,0.05,2.885081,7.7037
1,mae,13,0.1,3.918604,7.647137
1,mse,0,0.05,1.021304,7.02466
1,mse,0,0.1,1.529379,6.945008
1,mse,1,0.05,0.884983,7.47395
1,mse,1,0.1,1.55851,7.404743
1,mse,2,0.05,1.200137,6.963892
1,mse,2,0.1,1.633524,6.957047
1,mse,3,0.05,1.326766,6.506805
1,mse,3,0.1,1.892354,6.18174
1,mse,4,0.05,1.40906,6.705893
1,mse,4,0.1,1.744398,6.664558
1,mse,5,0.05,0.869925,6.536232
1,mse,5,0.1,1.661103,6.412986
1,mse,6,0.05,1.620399,6.279022
1,mse,6,0.1,2.15358,6.142406
1,mse,7,0.05,0.883989,7.304627
1,mse,7,0.1,1.441061,7.206906
1,mse,8,0.05,1.385414,6.621138
1,mse,8,0.1,1.938359,6.387053
1,mse,9,0.05,1.404542,6.586265
1,mse,9,0.1,2.060524,6.219594
1,mse,10,0.05,1.027478,7.107865
1,mse,10,0.1,1.84638,6.29928
1,mse,11,0.05,1.051988,6.890308
1,mse,11,0.1,1.905536,6.479785
1,mse,12,0.05,0.775796,7.07128
1,mse,12,0.1,1.416562,6.64758
1,mse,13,0.05,1.145525,6.603846
1,mse,13,0.1,2.072859,6.36398
2,mae,0,0.05,3.757241,8.772909
2,mae,0,0.1,4.993181,9.022833
2,mae,1,0.05,3.574943,8.609232
2,mae,1,0.1,4.155078,8.578394
2,mae,2,0.05,3.745961,8.747166
2,mae,2,0.1,4.733574,9.000127
2,mae,3,0.05,3.905863,8.918158
2,mae,3,0.1,4.833606,9.041203
2,mae,4,0.05,3.722945,8.878652
2,mae,4,0.1,4.836126,8.917709
2,mae,5,0.05,3.677301,8.843046
2,mae,5,0.1,4.730187,8.846809
2,mae,6,0.05,4.328461,8.404017
2,mae,6,0.1,6.05828,8.383619
2,mae,7,0.05,4.212999,8.628935
2,mae,7,0.1,5.319384,8.586859
2,mae,8,0.05,3.178012,8.594297
2,mae,8,0.1,4.139653,8.368056
2,mae,9,0.05,3.796472,8.789565
2,mae,9,0.1,5.050441,9.090642
