batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.392585,8.918119
0,mae,0,0.1,4.168442,9.524664
0,mae,1,0.05,3.086651,9.424946
0,mae,1,0.1,3.785448,10.073501
0,mae,2,0.05,3.551725,8.725542
0,mae,2,0.1,4.381083,8.94384
0,mae,3,0.05,3.804214,9.110243
0,mae,3,0.1,4.43966,9.223246
0,mae,4,0.05,3.517843,9.147013
0,mae,4,0.1,4.340869,9.529181
0,mae,5,0.05,3.116225,9.125984
0,mae,5,0.1,4.034196,9.319862
0,mae,6,0.05,3.570414,8.897013
0,mae,6,0.1,4.465841,9.121429
0,mae,7,0.05,3.284855,9.165212
0,mae,7,0.1,4.157875,9.653418
0,mae,8,0.05,3.42741,9.143801
0,mae,8,0.1,4.193263,9.352365
0,mae,9,0.05,3.738793,9.059782
0,mae,9,0.1,4.484146,9.643305
0,mae,10,0.05,3.348118,9.233783
0,mae,10,0.1,4.131527,9.759014
0,mae,11,0.05,3.514417,9.335629
0,mae,11,0.1,4.596143,9.442794
0,mae,12,0.05,2.946383,9.440992
0,mae,12,0.1,3.940177,10.02302
0,mae,13,0.05,3.15198,9.651003
0,mae,13,0.1,4.431688,9.387934
0,mse,0,0.05,1.454367,8.170531
0,mse,0,0.1,2.33704,9.136984
0,mse,1,0.05,1.450703,8.708403
0,mse,1,0.1,2.137469,9.934574
0,mse,2,0.05,1.896172,7.75446
0,mse,2,0.1,2.759723,8.292351
0,mse,3,0.05,1.95271,8.372989
0,mse,3,0.1,2.806278,8.610389
0,mse,4,0.05,1.668951,8.561071
0,mse,4,0.1,2.384717,9.272668
0,mse,5,0.05,1.260996,8.512502
0,mse,5,0.1,2.044399,9.000664
0,mse,6,0.05,1.836683,8.123457
0,mse,6,0.1,2.800117,8.683126
0,mse,7,0.05,1.430295,8.361225
0,mse,7,0.1,2.146419,9.225286
0,mse,8,0.05,1.649203,8.22858
0,mse,8,0.1,2.436267,8.792395
0,mse,9,0.05,2.072212,8.177199
0,mse,9,0.1,2.806111,9.188625
0,mse,10,0.05,1.613141,8.417856
0,mse,10,0.1,2.410652,9.201777
0,mse,11,0.05,1.780586,8.873411
0,mse,11,0.1,2.836768,9.164412
0,mse,12,0.05,1.176278,9.040339
0,mse,12,0.1,2.147679,10.063156
0,mse,13,0.05,1.485626,9.180506
0,mse,13,0.1,2.742815,8.997681
1,mae,0,0.05,3.656993,8.628001
1,mae,0,0.1,4.309747,9.052783
1,mae,1,0.05,3.760056,8.584433
1,mae,1,0.1,4.269721,9.128893
1,mae,2,0.05,3.585875,8.338487
1,mae,2,0.1,4.620015,8.439215
1,mae,3,0.05,3.256316,8.763283
1,mae,3,0.1,4.378104,8.89378
1,mae,4,0.05,3.528945,8.485229
1,mae,4,0.1,4.251478,8.96644
1,mae,5,0.05,2.986176,8.550629
1,mae,5,0.1,4.017802,8.712209
1,mae,6,0.05,3.68149,8.348316
1,mae,6,0.1,4.792554,8.504449
1,mae,7,0.05,3.373084,9.127622
1,mae,7,0.1,4.122401,9.491047
1,mae,8,0.05,3.517809,8.960762
1,mae,8,0.1,4.379941,9.362365
1,mae,9,0.05,3.645627,8.596903
1,mae,9,0.1,4.616166,9.23615
1,mae,10,0.05,3.542064,9.012531
1,mae,10,0.1,4.245809,9.646761
1,mae,11,0.05,3.471838,8.691456
1,mae,11,0.1,4.436316,8.942566
1,mae,12,0.05,3.235101,8.807705
1,mae,12,0.1,3.780339,9.275452
1,mae,13,0.05,3.499259,8.688042
1,mae,13,0.1,4.670916,8.894842
1,mse,0,0.05,1.7918,7.914732
1,mse,0,0.1,2.573336,8.719637
1,mse,1,0.05,2.009737,7.71307
