batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,1.900219,8.635042
0,mae,0,0.1,1.980731,8.551528
0,mae,1,0.05,1.787181,8.441199
0,mae,1,0.1,1.855517,8.451725
0,mae,2,0.05,2.31686,8.665167
0,mae,2,0.1,2.396197,8.351412
0,mae,3,0.05,1.961753,8.598509
0,mae,3,0.1,2.154241,8.588142
0,mae,4,0.05,2.064818,8.376556
0,mae,4,0.1,2.246007,8.220111
0,mae,5,0.05,2.006727,8.704894
0,mae,5,0.1,2.162294,8.560884
0,mae,6,0.05,2.391771,8.504798
0,mae,6,0.1,2.423745,8.477658
0,mae,7,0.05,1.749233,8.759918
0,mae,7,0.1,1.855381,8.624195
0,mae,8,0.05,1.985647,8.46291
0,mae,8,0.1,2.190278,8.26351
0,mae,9,0.05,2.066452,8.765773
0,mae,9,0.1,2.197079,8.691442
0,mae,10,0.05,1.698666,9.071545
0,mae,10,0.1,1.788437,9.045263
0,mae,11,0.05,1.979203,8.678019
0,mae,11,0.1,2.281147,8.52389
0,mae,12,0.05,1.61702,8.765059
0,mae,12,0.1,1.766754,8.620446
0,mae,13,0.05,1.81663,8.576548
0,mae,13,0.1,1.928321,8.728566
0,mse,0,0.05,0.570171,7.663708
0,mse,0,0.1,0.597563,7.534907
0,mse,1,0.05,0.498361,7.457173
0,mse,1,0.1,0.520797,7.460037
0,mse,2,0.05,0.731434,7.808233
0,mse,2,0.1,0.770401,7.4076
0,mse,3,0.05,0.50803,7.686105
0,mse,3,0.1,0.624217,7.628282
0,mse,4,0.05,0.817945,7.164721
0,mse,4,0.1,0.885985,6.918322
0,mse,5,0.05,0.829234,7.755097
0,mse,5,0.1,0.862575,7.501028
0,mse,6,0.05,1.059078,7.463882
0,mse,6,0.1,1.044218,7.353893
0,mse,7,0.05,0.481738,7.866035
0,mse,7,0.1,0.505048,7.598843
0,mse,8,0.05,0.581401,7.419219
0,mse,8,0.1,0.710594,7.180732
0,mse,9,0.05,0.725838,7.788936
0,mse,9,0.1,0.781979,7.634991
0,mse,10,0.05,0.481695,8.293139
0,mse,10,0.1,0.505988,8.232518
0,mse,11,0.05,0.576769,7.748386
0,mse,11,0.1,0.746836,7.48449
0,mse,12,0.05,0.373279,7.807958
0,mse,12,0.1,0.438068,7.637518
0,mse,13,0.05,0.700967,7.408507
0,mse,13,0.1,0.739399,7.609726
1,mae,0,0.05,1.895595,8.282474
1,mae,0,0.1,1.951478,8.009598
1,mae,1,0.05,2.480474,8.336906
1,mae,1,0.1,2.544843,8.135912
1,mae,2,0.05,2.364923,8.343589
1,mae,2,0.1,2.402,8.348002
1,mae,3,0.05,2.120161,8.317665
1,mae,3,0.1,2.31115,8.045393
1,mae,4,0.05,2.17061,8.560951
1,mae,4,0.1,2.32267,8.080326
1,mae,5,0.05,2.071745,8.287729
1,mae,5,0.1,2.182056,8.064474
1,mae,6,0.05,2.073169,8.585584
1,mae,6,0.1,2.43387,8.484906
1,mae,7,0.05,1.591851,8.65681
1,mae,7,0.1,1.720106,8.519112
1,mae,8,0.05,2.43198,8.489969
1,mae,8,0.1,2.647249,8.212275
1,mae,9,0.05,2.254892,8.111074
1,mae,9,0.1,2.36612,7.981204
1,mae,10,0.05,2.027241,8.380372
1,mae,10,0.1,2.131115,8.165921
1,mae,11,0.05,2.022112,8.603693
1,mae,11,0.1,2.103363,8.226328
1,mae,12,0.05,1.575928,8.570751
1,mae,12,0.1,1.808394,8.370426
1,mae,13,0.05,1.860706,8.459801
1,mae,13,0.1,1.996724,8.446261
1,mse,0,0.05,0.59862,7.397368
1,mse,0,0.1,0.614318,7.020315
1,mse,1,0.05,0.957691,7.433217
1,mse,1,0.1,1.017983,7.029847
1,mse,2,0.05,0.751968,7.373503
1,mse,2,0.1,0.766915,7.294813
1,mse,3,0.05,0.64111,7.513242
1,mse,3,0.1,0.729336,7.14688
1,mse,4,0.05,0.619144,7.766416
1,mse,4,0.1,0.684051,7.002439
1,mse,5,0.05,0.861403,7.314727
1,mse,5,0.1,0.867528,6.890593
1,mse,6,0.05,0.624138,7.942381
1,mse,6,0.1,0.858613,7.654887
1,mse,7,0.05,0.406595,7.858363
1,mse,7,0.1,0.452404,7.474016
1,mse,8,0.05,1.005543,7.544569
1,mse,8,0.1,1.088906,7.149747
1,mse,9,0.05,0.831375,6.998452
