batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,4.55748,5.491162
0,mae,0,0.1,5.750488,4.603903
0,mae,1,0.05,4.970476,5.56246
0,mae,1,0.1,6.341276,4.317066
0,mae,2,0.05,4.596291,5.625547
0,mae,2,0.1,5.906326,4.619189
0,mae,3,0.05,3.62576,6.09969
0,mae,3,0.1,5.166135,5.662879
0,mae,4,0.05,3.316246,6.646673
0,mae,4,0.1,6.341984,4.316948
0,mae,5,0.05,3.315899,6.667101
0,mae,5,0.1,5.416791,5.009573
0,mae,6,0.05,3.188251,6.465243
0,mae,6,0.1,5.133471,5.313171
0,mae,7,0.05,3.721785,6.196367
0,mae,7,0.1,6.342004,4.316084
0,mae,8,0.05,3.216256,6.625293
0,mae,8,0.1,5.731092,4.816515
0,mae,9,0.05,4.104565,6.128002
0,mae,9,0.1,6.338256,4.428147
0,mae,10,0.05,3.696522,6.046065
0,mae,10,0.1,5.972116,4.937637
0,mae,11,0.05,4.2398,6.059179
0,mae,11,0.1,5.480647,5.395673
0,mae,12,0.05,3.404536,6.798074
0,mae,12,0.1,5.968846,4.451124
0,mae,13,0.05,4.542184,5.700105
0,mae,13,0.1,6.342025,4.317094
0,mse,0,0.05,2.724621,3.509542
0,mse,0,0.1,3.894769,2.353723
0,mse,1,0.05,2.973226,3.535392
0,mse,1,0.1,4.693397,2.097467
0,mse,2,0.05,2.77379,3.627767
0,mse,2,0.1,4.202959,2.317173
0,mse,3,0.05,1.728141,4.300245
0,mse,3,0.1,3.316054,3.598889
0,mse,4,0.05,1.47268,5.015862
0,mse,4,0.1,4.694391,2.099514
0,mse,5,0.05,1.472449,5.043313
0,mse,5,0.1,3.726803,2.883982
0,mse,6,0.05,1.50107,4.741376
0,mse,6,0.1,3.309344,3.239581
0,mse,7,0.05,1.996983,4.487206
0,mse,7,0.1,4.693981,2.098904
0,mse,8,0.05,1.562068,4.833331
0,mse,8,0.1,4.037085,2.68604
0,mse,9,0.05,2.277301,4.307567
0,mse,9,0.1,4.654664,2.151082
0,mse,10,0.05,1.884254,4.212937
0,mse,10,0.1,4.063182,2.713451
0,mse,11,0.05,2.323508,4.154421
0,mse,11,0.1,3.569356,3.265831
0,mse,12,0.05,1.539112,5.118532
0,mse,12,0.1,4.347965,2.196618
0,mse,13,0.05,2.627785,3.856444
0,mse,13,0.1,4.694487,2.09692
1,mae,0,0.05,4.443829,6.027973
1,mae,0,0.1,6.137629,5.125775
1,mae,1,0.05,5.070202,5.749527
1,mae,1,0.1,6.283912,4.468538
1,mae,2,0.05,4.647343,6.018898
1,mae,2,0.1,6.084318,4.820583
1,mae,3,0.05,4.243566,6.541564
1,mae,3,0.1,5.847927,5.395964
1,mae,4,0.05,3.0688,6.72431
1,mae,4,0.1,6.283803,4.421892
1,mae,5,0.05,3.067725,6.702524
1,mae,5,0.1,5.140908,5.166979
1,mae,6,0.05,3.057032,6.647753
1,mae,6,0.1,5.70983,5.004463
1,mae,7,0.05,3.330253,6.603435
1,mae,7,0.1,6.340913,4.614257
1,mae,8,0.05,2.634706,6.934258
1,mae,8,0.1,5.850829,4.66196
1,mae,9,0.05,3.998107,6.4878
1,mae,9,0.1,6.322135,4.672432
1,mae,10,0.05,3.644415,6.79083
1,mae,10,0.1,5.820041,5.038301
1,mae,11,0.05,4.017399,6.560665
1,mae,11,0.1,5.540531,5.429767
1,mae,12,0.05,3.068114,6.70645
1,mae,12,0.1,5.654428,4.985291
1,mae,13,0.05,4.742796,5.608296
1,mae,13,0.1,6.048944,4.736356
1,mse,0,0.05,2.534286,4.017495
1,mse,0,0.1,4.384134,2.808901
1,mse,1,0.05,2.976703,3.523073
1,mse,1,0.1,4.360591,2.127414
1,mse,2,0.05,2.656364,3.799011
1,mse,2,0.1,4.13372,2.528659
1,mse,3,0.05,2.271992,4.719652
1,mse,3,0.1,3.897843,3.387079
1,mse,4,0.05,1.335848,5.216963
1,mse,4,0.1,4.360124,2.078096
1,mse,5,0.05,1.334316,5.21193
1,mse,5,0.1,3.193547,3.110108
1,mse,6,0.05,1.361528,4.924535
1,mse,6,0.1,3.663436,2.893591
1,mse,7,0.05,1.687699,4.84995
1,mse,7,0.1,4.504058,2.23555
1,mse,8,0.05,1.026623,5.197817
1,mse,8,0.1,3.854935,2.38652
1,mse,9,0.05,2.126592,4.490438
1,mse,9,0.1,4.412418,2.348941
1,mse,10,0.05,1.660501,5.087422
1,mse,10,0.1,3.81332,2.774999
1,mse,11,0.05,2.02816,4.861921
1,mse,11,0.1,3.520938,3.385868
1,mse,12,0.05,1.334862,5.206162
1,mse,12,0.1,3.639052,2.744956
1,mse,13,0.05,2.598854,3.401748
1,mse,13,0.1,4.08464,2.450619
2,mae,0,0.05,4.642295,5.607557
2,mae,0,0.1,6.74217,4.770707
2,mae,1,0.05,5.023374,5.529808
2,mae,1,0.1,6.60471,4.440438
2,mae,2,0.05,5.009634,5.812244
2,mae,2,0.1,6.387084,4.899687
2,mae,3,0.05,4.596783,6.317444
2,mae,3,0.1,6.13008,5.792909
2,mae,4,0.05,3.118754,6.781476
2,mae,4,0.1,6.605214,4.440438
2,mae,5,0.05,3.118754,6.781476
2,mae,5,0.1,5.349041,5.397615
2,mae,6,0.05,2.963691,6.945003
2,mae,6,0.1,6.051282,5.063236
2,mae,7,0.05,3.634843,6.437215
2,mae,7,0.1,6.603285,4.448819
2,mae,8,0.05,3.900772,6.137451
2,mae,8,0.1,5.928937,5.054032
2,mae,9,0.05,4.804581,5.780519
2,mae,9,0.1,6.695795,4.796631
2,mae,10,0.05,4.236075,6.42182
2,mae,10,0.1,6.379409,4.782406
2,mae,11,0.05,4.645507,6.204677
2,mae,11,0.1,5.566309,5.758283
2,mae,12,0.05,3.118367,6.794411
2,mae,12,0.1,6.295477,4.723086
2,mae,13,0.05,4.958825,5.441943
2,mae,13,0.1,6.771246,4.449011
2,mse,0,0.05,2.790539,3.860126
2,mse,0,0.1,5.4491,2.517516
2,mse,1,0.05,3.219183,3.569363
2,mse,1,0.1,5.142892,2.090078
