batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.663207,10.109253
0,mae,0,0.1,3.069867,10.316393
0,mae,1,0.05,2.599397,10.011885
0,mae,1,0.1,3.041221,10.571779
0,mae,2,0.05,2.303653,10.495139
0,mae,2,0.1,2.909361,10.560448
0,mae,3,0.05,2.671233,10.604308
0,mae,3,0.1,3.091712,10.952419
0,mae,4,0.05,3.177879,10.122559
0,mae,4,0.1,3.439234,10.637648
0,mae,5,0.05,3.003724,10.28591
0,mae,5,0.1,3.581516,10.414959
0,mae,6,0.05,3.206113,9.4816
0,mae,6,0.1,3.76458,9.678209
0,mae,7,0.05,3.130012,11.172643
0,mae,7,0.1,3.738642,11.617831
0,mae,8,0.05,2.610738,10.237346
0,mae,8,0.1,2.894043,10.391916
0,mae,9,0.05,3.041594,10.967625
0,mae,9,0.1,3.361964,11.247038
0,mae,10,0.05,2.759611,10.87941
0,mae,10,0.1,3.228863,11.102531
0,mae,11,0.05,2.891909,10.627366
0,mae,11,0.1,3.202559,10.87841
0,mae,12,0.05,2.661108,10.52308
0,mae,12,0.1,3.043996,10.866488
0,mae,13,0.05,3.344351,10.511833
0,mae,13,0.1,3.783164,10.844645
0,mse,0,0.05,1.003747,10.304857
0,mse,0,0.1,1.361615,10.72509
0,mse,1,0.05,0.998606,10.30158
0,mse,1,0.1,1.398226,11.236425
0,mse,2,0.05,0.667179,10.755288
0,mse,2,0.1,1.166139,10.758262
0,mse,3,0.05,0.958469,11.160568
0,mse,3,0.1,1.312285,11.774434
0,mse,4,0.05,1.324754,10.146447
0,mse,4,0.1,1.491982,10.878586
0,mse,5,0.05,1.295219,10.417171
0,mse,5,0.1,1.763571,10.508124
0,mse,6,0.05,1.578206,9.370388
0,mse,6,0.1,2.11104,9.772047
0,mse,7,0.05,1.221124,11.996673
0,mse,7,0.1,1.709299,12.738928
0,mse,8,0.05,0.980984,10.458369
0,mse,8,0.1,1.223042,10.751576
0,mse,9,0.05,1.122682,11.751268
0,mse,9,0.1,1.324612,12.114607
0,mse,10,0.05,0.966808,11.564106
0,mse,10,0.1,1.363593,12.061283
0,mse,11,0.05,1.198417,11.190379
